path,file,cond,xVoxel,yVoxel,zVoxel,xGaussian,yGaussian,zGaussian,minThreshold,maxThresholdeshold,pixelCount_1,pixelCount_2,pixelCount_3
/Users/cudmore/box/data/sami/data/200108/BIN1smKO_Female/Cell_2/2_5ADVMLEG1L1_ch2.tif,2_5ADVMLEG1L1_ch2.tif,ko-female.txt,0.133652,0.133652,0.430000,2,2,2,2,255,423976,130,115
/Users/cudmore/box/data/sami/data/200108/BIN1smKO_Female/Cell_3/3_5ADVMLEG1L1_ch2.tif,3_5ADVMLEG1L1_ch2.tif,ko-female.txt,0.172634,0.172634,0.430000,2,2,2,2,255,525756,190,24
/Users/cudmore/box/data/sami/data/200108/BIN1smKO_Female/Cell_4_/4_5ADVMLEG1L1_ch2.tif,4_5ADVMLEG1L1_ch2.tif,ko-female.txt,0.138107,0.138107,0.430000,2,2,2,2,255,748302,224,36
/Users/cudmore/box/data/sami/data/200108/BIN1smKO_Female/Cell_5/5_5ADVMLEG1L1_ch2.tif,5_5ADVMLEG1L1_ch2.tif,ko-female.txt,0.218063,0.218063,0.430000,2,2,2,2,255,325552,1677,31
/Users/cudmore/box/data/sami/data/200108/BIN1smKO_Female/Cell_6/6_5ADVMLEG1L1_ch2.tif,6_5ADVMLEG1L1_ch2.tif,ko-female.txt,0.180139,0.180139,0.430000,2,2,2,2,255,309802,196,60
/Users/cudmore/box/data/sami/data/200108/BIN1smKO_Female/Cell_9/9_5ADVMLEG1L1_ch2.tif,9_5ADVMLEG1L1_ch2.tif,ko-female.txt,0.138107,0.138107,0.430000,2,2,2,2,255,507676,196,148
/Users/cudmore/box/data/sami/data/200108/BIN1smKO_Female/Cell_10/10_ch2.tif,10_ch2.tif,ko-female.txt,0.138107,0.138107,0.430000,2,2,2,2,255,388914,155,82
/Users/cudmore/box/data/sami/data/200108/BIN1smKO_Female/Cell_11/11_5ADVMLEG1L1_ch2.tif,11_5ADVMLEG1L1_ch2.tif,ko-female.txt,0.114138,0.114138,0.430000,2,2,2,2,255,372341,279,61
/Users/cudmore/box/data/sami/data/200421/BIN1smKO Female/Cell 1/Female KOl 1_3ADVMLEG1L1_ch2.tif,Female KOl 1_3ADVMLEG1L1_ch2.tif,ko-female.txt,0.089874,0.089874,0.430000,2,2,2,2,255,194645,1029,262
/Users/cudmore/box/data/sami/data/200421/BIN1smKO Female/Cell 10/Female KO 10_3ADVMLEG1L1_ch2.tif,Female KO 10_3ADVMLEG1L1_ch2.tif,ko-female.txt,0.188327,0.188327,0.430000,2,2,2,2,255,78733,5546,2713
/Users/cudmore/box/data/sami/data/200421/BIN1smKO Female/Cell 11/Female KO 11_3ADVMLEG1L1_ch2.tif,Female KO 11_3ADVMLEG1L1_ch2.tif,ko-female.txt,0.153452,0.153452,0.430000,2,2,2,2,255,73747,2643,1790
