path,file,cond,xVoxel,yVoxel,zVoxel,xGaussian,yGaussian,zGaussian,minThreshold,maxThresholdeshold,pixelCount_1,pixelCount_2,pixelCount_3
/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif,12_5ADVMLEG1L1_ch2.tif,ko-male.txt,0.149036,0.149036,0.430000,2,2,2,2,255,434081,295,159
/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_13/13_5ADVMLEG1L1_ch2.tif,13_5ADVMLEG1L1_ch2.tif,ko-male.txt,0.147445,0.147445,0.430000,2,2,2,2,255,435945,None,None
/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_14/14_5ADVMLEG1L1_ch2.tif,14_5ADVMLEG1L1_ch2.tif,ko-male.txt,0.171207,0.171207,0.430000,2,2,2,2,255,198599,None,None
/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_15/15_5ADVMLEG1L1_ch2.tif,15_5ADVMLEG1L1_ch2.tif,ko-male.txt,0.197295,0.197295,0.430000,2,2,2,2,255,409118,780,151
/Users/cudmore/box/data/sami/data/200414/Bin1smKO Male/Cell 1/Male KO cell 1_3ADVMLEG1L1_ch2.tif,Male KO cell 1_3ADVMLEG1L1_ch2.tif,ko-male.txt,0.089874,0.089874,0.430000,2,2,2,2,255,441245,86,36
/Users/cudmore/box/data/sami/data/200414/Bin1smKO Male/Cell 10/Male KO cell 10_3ADVMLEG1L1_ch2.tif,Male KO cell 10_3ADVMLEG1L1_ch2.tif,ko-male.txt,0.159354,0.159354,0.430000,2,2,2,2,255,4511043,88,78
/Users/cudmore/box/data/sami/data/200414/Bin1smKO Male/Cell 11/Male KO cell 11_3ADVMLEG1L1_ch2.tif,Male KO cell 11_3ADVMLEG1L1_ch2.tif,ko-male.txt,0.180139,0.180139,0.430000,2,2,2,2,255,448685,12689,3393
/Users/cudmore/box/data/sami/data/200414/Bin1smKO Male/Cell 12/Male KO cell 12_3ADVMLEG1L1_ch2.tif,Male KO cell 12_3ADVMLEG1L1_ch2.tif,ko-male.txt,0.230178,0.230178,0.430000,2,2,2,2,255,1698730,190,139
/Users/cudmore/box/data/sami/data/200414/Bin1smKO Male/Cell 13/Male KO cell 13_3ADVMLEG1L1_ch2.tif,Male KO cell 13_3ADVMLEG1L1_ch2.tif,ko-male.txt,0.089874,0.089874,0.430000,2,2,2,2,255,807966,562,431
/Users/cudmore/box/data/sami/data/200414/Bin1smKO Male/Cell 14/Male KO cell 14_3ADVMLEG1L1_ch2.tif,Male KO cell 14_3ADVMLEG1L1_ch2.tif,ko-male.txt,0.089874,0.089874,0.430000,2,2,2,2,255,705660,7358,2194
/Users/cudmore/box/data/sami/data/200414/Bin1smKO Male/Cell 15/Male KO cell 15_3ADVMLEG1L1_ch2.tif,Male KO cell 15_3ADVMLEG1L1_ch2.tif,ko-male.txt,0.129072,0.129072,0.430000,2,2,2,2,255,384352,18,16
/Users/cudmore/box/data/sami/data/200414/Bin1smKO Male/Cell 16/Male KO cell 16_3ADVMLEG1L1_ch2.tif,Male KO cell 16_3ADVMLEG1L1_ch2.tif,ko-male.txt,0.276214,0.276214,0.430000,2,2,2,2,255,186057,105,None
/Users/cudmore/box/data/sami/data/200414/Bin1smKO Male/Cell 17/Male KO cell 17_3ADVMLEG1L1_ch2.tif,Male KO cell 17_3ADVMLEG1L1_ch2.tif,ko-male.txt,0.165728,0.165728,0.430000,2,2,2,2,255,1772213,101,59
/Users/cudmore/box/data/sami/data/200414/Bin1smKO Male/Cell 18/Male KO cell 18_3ADVMLEG1L1_ch2.tif,Male KO cell 18_3ADVMLEG1L1_ch2.tif,ko-male.txt,0.138107,0.138107,0.430000,2,2,2,2,255,346558,136,62
