analysisDate,tifPath,maskPath,tifFile,xVoxel,yVoxel,zVoxel,saveNumber,intensity_scaling_param,f3_param,minArea,
20200503,../data/200108/WT_Female/Cell_1/1_5ADVMLEG1L1_ch2.tif,../data/200108/WT_Female/Cell_1/1_5ADVMLEG1L1_ch2_dvMask.tif,1_5ADVMLEG1L1_ch2.tif,0.20925273754893897,0.20925273754893897,0.4299999999998363,1,[0.0 22.5 ],[0.5 0.005 ],20,
20200503,../data/200108/WT_Female/Cell_7/7_5ADVMLEG1L1_ch2.tif,../data/200108/WT_Female/Cell_7/7_5ADVMLEG1L1_ch2_dvMask.tif,7_5ADVMLEG1L1_ch2.tif,0.0898742703894387,0.0898742703894387,0.43000000000006366,1,[0.0 18.0 ],[0.5 0.005 ],20,
20200503,../data/200108/WT_Female/Cell_8/8_5ADVMLEG1L1_ch2.tif,../data/200108/WT_Female/Cell_8/8_5ADVMLEG1L1_ch2_dvMask.tif,8_5ADVMLEG1L1_ch2.tif,0.0898742703894387,0.0898742703894387,0.43000000000006366,1,[0.0 21.0 ],[0.5 0.005 ],20,
20200503,../data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif,../data/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2_dvMask.tif,Female WT cell 1_3ADVMLEG1L1_ch2.tif,0.19919251338922278,0.19919251338922278,0.43000000000006366,1,[0.0 29.0 ],[0.5 0.005 ],20,
20200503,../data/200421/WT Female/Cell 10/Female WT cell 10_3ADVMLEG1L1_ch2.tif,../data/200421/WT Female/Cell 10/Female WT cell 10_3ADVMLEG1L1_ch2_dvMask.tif,Female WT cell 10_3ADVMLEG1L1_ch2.tif,0.2301779920376829,0.2301779920376829,0.43000000000006366,1,[0.0 26.0 ],[0.5 0.005 ],20,
20200503,../data/200421/WT Female/Cell 11/Female WT cell 11_3ADVMLEG1L1_ch2.tif,../data/200421/WT Female/Cell 11/Female WT cell 11_3ADVMLEG1L1_ch2_dvMask.tif,Female WT cell 11_3ADVMLEG1L1_ch2.tif,0.2071602023706585,0.2071602023706585,0.43000000000006366,1,[0.0 28.5 ],[0.5 0.005 ],20,
20200503,../data/200421/WT Female/Cell 12/Female WT cell 12_3ADVMLEG1L1_ch2.tif,../data/200421/WT Female/Cell 12/Female WT cell 12_3ADVMLEG1L1_ch2_dvMask.tif,Female WT cell 12_3ADVMLEG1L1_ch2.tif,0.19729543472174735,0.19729543472174735,0.43000000000006366,1,[0.0 20.5 ],[0.5 0.005 ],20,
20200503,../data/200421/WT Female/Cell 13/Female WT cell 13_3ADVMLEG1L1_ch2.tif,../data/200421/WT Female/Cell 13/Female WT cell 13_3ADVMLEG1L1_ch2_dvMask.tif,Female WT cell 13_3ADVMLEG1L1_ch2.tif,0.138106801580439,0.138106801580439,0.43000000000006366,1,[0.0 23.5 ],[0.5 0.005 ],20,
20200503,../data/200421/WT Female/Cell 14/Female WT cell 14_3ADVMLEG1L1_ch2.tif,../data/200421/WT Female/Cell 14/Female WT cell 14_3ADVMLEG1L1_ch2_dvMask.tif,Female WT cell 14_3ADVMLEG1L1_ch2.tif,0.18832746379404508,0.18832746379404508,0.4299999999998363,1,[0.0 22.5 ],[0.5 0.005 ],20,
20200503,../data/200421/WT Female/Cell 15/Female WT cell 15_3ADVMLEG1L1_ch2.tif,../data/200421/WT Female/Cell 15/Female WT cell 15_3ADVMLEG1L1_ch2_dvMask.tif,Female WT cell 15_3ADVMLEG1L1_ch2.tif,0.23675453100821445,0.23675453100821445,0.43000000000006366,1,[0.0 20.5 ],[0.5 0.005 ],20,
