,myCellNumber,filename,genotype,sex,branchType,len3d,euclideanDist,tortuosity,path
0,0,1_5ADVMLEG1L1_ch2.tif,wt,female,1,1.4420657559165972,1.2597330158600746,1.1447391929567203,/Users/cudmore/box/data/sami/data/200108/WT_Female/Cell_1/1_5ADVMLEG1L1_ch2.tif
1,0,1_5ADVMLEG1L1_ch2.tif,wt,female,1,0.6904988052792844,0.6904988052792844,1.0,/Users/cudmore/box/data/sami/data/200108/WT_Female/Cell_1/1_5ADVMLEG1L1_ch2.tif
2,0,1_5ADVMLEG1L1_ch2.tif,wt,female,1,1.50357502625104,1.1878152386162277,1.2658324100999612,/Users/cudmore/box/data/sami/data/200108/WT_Female/Cell_1/1_5ADVMLEG1L1_ch2.tif
3,0,1_5ADVMLEG1L1_ch2.tif,wt,female,2,1.2303916416667509,1.117784216521992,1.1007416489518336,/Users/cudmore/box/data/sami/data/200108/WT_Female/Cell_1/1_5ADVMLEG1L1_ch2.tif
4,0,1_5ADVMLEG1L1_ch2.tif,wt,female,2,0.8214827030467006,0.6719750203846238,1.2224899410345669,/Users/cudmore/box/data/sami/data/200108/WT_Female/Cell_1/1_5ADVMLEG1L1_ch2.tif
5,0,1_5ADVMLEG1L1_ch2.tif,wt,female,1,0.6583644324630454,0.3182086778312533,2.0689707048535535,/Users/cudmore/box/data/sami/data/200108/WT_Female/Cell_1/1_5ADVMLEG1L1_ch2.tif
6,0,1_5ADVMLEG1L1_ch2.tif,wt,female,2,0.842093738865292,0.6719750203846238,1.2531622654414982,/Users/cudmore/box/data/sami/data/200108/WT_Female/Cell_1/1_5ADVMLEG1L1_ch2.tif
7,0,1_5ADVMLEG1L1_ch2.tif,wt,female,1,0.41850547509787567,0.41850547509787567,1.0,/Users/cudmore/box/data/sami/data/200108/WT_Female/Cell_1/1_5ADVMLEG1L1_ch2.tif
8,0,1_5ADVMLEG1L1_ch2.tif,wt,female,2,2.2916808925720344,1.695334634929647,1.3517572550903112,/Users/cudmore/box/data/sami/data/200108/WT_Female/Cell_1/1_5ADVMLEG1L1_ch2.tif
9,0,1_5ADVMLEG1L1_ch2.tif,wt,female,2,0.8664965941833179,0.8617555167171586,1.0055016502641265,/Users/cudmore/box/data/sami/data/200108/WT_Female/Cell_1/1_5ADVMLEG1L1_ch2.tif
