path,file,cond,xVoxel,yVoxel,zVoxel,xGaussian,yGaussian,zGaussian,minThreshold,maxThresholdeshold,pixelCount_1,pixelCount_2,pixelCount_3
/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_4_/4_1_5ADVMLEG1L1_ch2.tif,4_1_5ADVMLEG1L1_ch2.tif,wt-male.txt,0.121859,0.121859,0.430000,2,2,2,2,255,451316,None,None
/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_5/5_5ADVMLEG1L1_ch2.tif,5_5ADVMLEG1L1_ch2.tif,wt-male.txt,0.138107,0.138107,0.430000,2,2,2,2,255,375330,117,46
/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_6_/6_5ADVMLEG1L1_ch2.tif,6_5ADVMLEG1L1_ch2.tif,wt-male.txt,0.089874,0.089874,0.430000,2,2,2,2,255,743800,32,None
/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_7/7_5ADVMLEG1L1_ch2.tif,7_5ADVMLEG1L1_ch2.tif,wt-male.txt,0.207160,0.207160,0.430000,2,2,2,2,255,307354,34,29
/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_8/8_5ADVMLEG1L1_ch2.tif,8_5ADVMLEG1L1_ch2.tif,wt-male.txt,0.089874,0.089874,0.430000,2,2,2,2,255,646537,21,8
/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_9/9_5ADVMLEG1L1_ch2.tif,9_5ADVMLEG1L1_ch2.tif,wt-male.txt,0.138107,0.138107,0.430000,2,2,2,2,255,530467,12,11
/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif,10_5ADVMLEG1L1_ch2.tif,wt-male.txt,0.205109,0.205109,0.430000,2,2,2,2,255,298823,786,121
/Users/cudmore/box/data/sami/data/200414/WT Male/Cell 1/Male WT cell 1_3ADVMLEG1L1_ch2.tif,Male WT cell 1_3ADVMLEG1L1_ch2.tif,wt-male.txt,0.180139,0.180139,0.430000,2,2,2,2,255,54550,6258,1727
/Users/cudmore/box/data/sami/data/200414/WT Male/Cell 10/Male WT cell 10_3ADVMLEG1L1_ch2.tif,Male WT cell 10_3ADVMLEG1L1_ch2.tif,wt-male.txt,0.125172,0.125172,0.430000,2,2,2,2,255,107502,1520,60
/Users/cudmore/box/data/sami/data/200414/WT Male/Cell 12/Male WT cell 12_3ADVMLEG1L1_ch2.tif,Male WT cell 12_3ADVMLEG1L1_ch2.tif,wt-male.txt,0.108746,0.108746,0.430000,2,2,2,2,255,294454,664,528
