analysisDate,tifPath,maskPath,tifFile,xVoxel,yVoxel,zVoxel,saveNumber,intensity_scaling_param,f3_param,minArea,
20200421,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_4_/4_1_5ADVMLEG1L1_ch2.tif,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_4_/4_1_5ADVMLEG1L1_ch2_dvMask.tif,4_1_5ADVMLEG1L1_ch2.tif,0.12185894851081663,0.12185894851081663,0.43000000000006366,1,[0.0 27.5 ],[0.5 0.005 ],20,
20200421,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_5/5_5ADVMLEG1L1_ch2.tif,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_5/5_5ADVMLEG1L1_ch2_dvMask.tif,5_5ADVMLEG1L1_ch2.tif,0.138106801580439,0.138106801580439,0.43000000000006366,1,[0.0 25.5 ],[0.5 0.005 ],20,
20200421,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_6_/6_5ADVMLEG1L1_ch2.tif,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_6_/6_5ADVMLEG1L1_ch2_dvMask.tif,6_5ADVMLEG1L1_ch2.tif,0.0898742703894387,0.0898742703894387,0.4299999999998363,1,[0.0 31.5 ],[0.5 0.005 ],20,
20200421,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_7/7_5ADVMLEG1L1_ch2.tif,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_7/7_5ADVMLEG1L1_ch2_dvMask.tif,7_5ADVMLEG1L1_ch2.tif,0.2071602023706585,0.2071602023706585,0.43000000000006366,1,[0.0 28.5 ],[0.5 0.005 ],20,
20200421,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_8/8_5ADVMLEG1L1_ch2.tif,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_8/8_5ADVMLEG1L1_ch2_dvMask.tif,8_5ADVMLEG1L1_ch2.tif,0.0898742703894387,0.0898742703894387,0.4299999999998363,1,[0.0 29.0 ],[0.5 0.005 ],20,
20200421,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_9/9_5ADVMLEG1L1_ch2.tif,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_9/9_5ADVMLEG1L1_ch2_dvMask.tif,9_5ADVMLEG1L1_ch2.tif,0.138106801580439,0.138106801580439,0.43000000000006366,1,[0.0 30.0 ],[0.5 0.005 ],20,
20200421,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2_dvMask.tif,10_5ADVMLEG1L1_ch2.tif,0.20510910368552343,0.20510910368552343,0.4299999999998363,1,[0.0 31.5 ],[0.5 0.005 ],20,
20200421,/Users/cudmore/box/data/sami/data/200414/WT Male/Cell 1/Male WT cell 1_3ADVMLEG1L1_ch2.tif,/Users/cudmore/box/data/sami/data/200414/WT Male/Cell 1/Male WT cell 1_3ADVMLEG1L1_ch2_dvMask.tif,Male WT cell 1_3ADVMLEG1L1_ch2.tif,0.1801393161443197,0.1801393161443197,0.4299999999998363,1,[0.0 37.0 ],[0.5 0.005 ],20,
20200421,/Users/cudmore/box/data/sami/data/200414/WT Male/Cell 10/Male WT cell 10_3ADVMLEG1L1_ch2.tif,/Users/cudmore/box/data/sami/data/200414/WT Male/Cell 10/Male WT cell 10_3ADVMLEG1L1_ch2_dvMask.tif,Male WT cell 10_3ADVMLEG1L1_ch2.tif,0.1251723310067135,0.1251723310067135,0.43000000000006366,1,[0.0 33.0 ],[0.5 0.005 ],20,
20200421,/Users/cudmore/box/data/sami/data/200414/WT Male/Cell 12/Male WT cell 12_3ADVMLEG1L1_ch2.tif,/Users/cudmore/box/data/sami/data/200414/WT Male/Cell 12/Male WT cell 12_3ADVMLEG1L1_ch2_dvMask.tif,Male WT cell 12_3ADVMLEG1L1_ch2.tif,0.10874550962604376,0.10874550962604376,0.43000000000006366,1,[0.0 33.5 ],[0.5 0.005 ],20,
